"SUID","__mclCluster","name","selected","shared name"
"2485","3","GOLPH3","false","GOLPH3"
"2423","3","FHL2","false","FHL2"
"2327","3","DPY19L1","false","DPY19L1"
"604","3","TNFRSF8","false","TNFRSF8"
"2397","3","GOLPH3L","false","GOLPH3L"
"2301","3","NAA25","false","NAA25"
"2336","3","SPATS2","false","SPATS2"
"1216","3","CDC6","false","CDC6"
"2304","3","CCDC112","false","CCDC112"
"2433","3","KIF3A","false","KIF3A"
"2306","3","NAA20","false","NAA20"
"2371","3","EXOC1","false","EXOC1"
"2339","3","BLOC1S1","false","BLOC1S1"
"2311","3","CEP57","false","CEP57"
"2380","3","ATP6V1D","false","ATP6V1D"
"2413","3","RACGAP1","false","RACGAP1"
"2445","3","NDC1","false","NDC1"
