"SUID","__mclCluster","name","selected","shared name"
"2575","4","LCK","false","LCK"
"1903","4","TSTA3","false","TSTA3"
"1839","4","SCN2B","false","SCN2B"
"1841","4","HEPACAM2","false","HEPACAM2"
"2291","4","NUDCD3","false","NUDCD3"
"2295","4","SUGT1","false","SUGT1"
"2455","4","ATP6V0E1","false","ATP6V0E1"
"1885","4","NAA50","false","NAA50"
"1888","4","PPWD1","false","PPWD1"
"1890","4","ARPC3","false","ARPC3"
"99","4","DNAAF5","false","DNAAF5"
"675","4","PICALM","false","PICALM"
"1892","4","SEPHS1","false","SEPHS1"
"1572","4","NPLOC4","false","NPLOC4"
"1222","4","PRPF40A","false","PRPF40A"
"1223","4","PTPRF","false","PTPRF"
