"SUID","__mclCluster","name","selected","shared name"
"62","1","APOA1","false","APOA1"
"63","1","PDE1A","false","PDE1A"
"64","1","TXN","false","TXN"
"65","1","NCF4","false","NCF4"
"66","1","VIM","false","VIM"
"67","1","TCHP","false","TCHP"
"68","1","ABLIM1","false","ABLIM1"
"69","1","NIF3L1","false","NIF3L1"
"70","1","NOC4L","false","NOC4L"
"73","1","MIF","false","MIF"
"74","1","GORASP2","false","GORASP2"
"75","1","CDKN1A","false","CDKN1A"
"76","1","TEX11","false","TEX11"
"77","1","KRT20","false","KRT20"
"78","1","KIAA0408","false","KIAA0408"
"79","1","FTH1","false","FTH1"
"80","1","FXR2","false","FXR2"
"81","1","APIP","false","APIP"
"82","1","TUBGCP4","false","TUBGCP4"
"84","1","CCDC85B","false","CCDC85B"
"87","1","RIBC2","false","RIBC2"
"88","1","FGF2","false","FGF2"
"89","1","SDC1","false","SDC1"
"91","1","CTNNB1","false","CTNNB1"
"92","1","ILK","false","ILK"
"93","1","ACP6","false","ACP6"
"94","1","HEATR1","false","HEATR1"
"95","1","FANCI","false","FANCI"
"96","1","BCL10","false","BCL10"
"97","1","KRT33B","false","KRT33B"
"98","1","MMS19","false","MMS19"
"100","1","SAP18","false","SAP18"
"101","1","DDX3X","false","DDX3X"
"102","1","GAPDH","false","GAPDH"
"103","1","AUP1","false","AUP1"
"104","1","NOC2L","false","NOC2L"
"105","1","COPG1","false","COPG1"
"106","1","PUF60","false","PUF60"
"107","1","AURKA","false","AURKA"
"108","1","SOD2","false","SOD2"
"109","1","PRPSAP1","false","PRPSAP1"
"110","1","MAGED1","false","MAGED1"
"111","1","DHX36","false","DHX36"
"112","1","PHB2","false","PHB2"
"113","1","BRF2","false","BRF2"
"114","1","FIBP","false","FIBP"
"115","1","HDAC3","false","HDAC3"
"116","1","SF3B1","false","SF3B1"
"117","1","BCL2","false","BCL2"
"118","1","SERPINB8","false","SERPINB8"
"119","1","RXRA","false","RXRA"
"120","1","PIN1","false","PIN1"
"121","1","CHEK1","false","CHEK1"
"122","1","HDAC4","false","HDAC4"
"123","1","CTBP1","false","CTBP1"
"124","1","GADD45G","false","GADD45G"
"125","1","RAF1","false","RAF1"
"126","1","VDAC1","false","VDAC1"
"127","1","TP53","false","TP53"
"128","1","CARM1","false","CARM1"
"129","1","CCL5","false","CCL5"
"130","1","SDC4","false","SDC4"
"131","1","ZNF354A","false","ZNF354A"
"132","1","CD74","false","CD74"
"133","1","SPRY2","false","SPRY2"
"134","1","EGFR","false","EGFR"
"135","1","TJP1","false","TJP1"
"138","1","UBE2A","false","UBE2A"
"139","1","CDKN2A","false","CDKN2A"
"140","1","FER","false","FER"
"141","1","ARAF","false","ARAF"
"142","1","EFEMP1","false","EFEMP1"
"143","1","PHKA2","false","PHKA2"
"144","1","SIN3B","false","SIN3B"
"145","1","SETDB1","false","SETDB1"
"146","1","CCNE1","false","CCNE1"
"147","1","SMARCA2","false","SMARCA2"
"148","1","POLR2A","false","POLR2A"
"152","1","BRD1","false","BRD1"
"155","1","HDAC11","false","HDAC11"
"156","1","CXCL13","false","CXCL13"
"157","1","EEF1G","false","EEF1G"
"158","1","DAP","false","DAP"
"161","1","PPP1R8","false","PPP1R8"
"162","1","TNFRSF10C","false","TNFRSF10C"
"163","1","TOB1","false","TOB1"
"164","1","USP11","false","USP11"
"165","1","ASAH1","false","ASAH1"
"166","1","DLEU1","false","DLEU1"
"167","1","HMOX2","false","HMOX2"
"168","1","HSPB3","false","HSPB3"
"169","1","MAFG","false","MAFG"
"170","1","AIFM1","false","AIFM1"
"171","1","POLA2","false","POLA2"
"172","1","PTPRS","false","PTPRS"
"173","1","SGSM2","false","SGSM2"
"174","1","S100A10","false","S100A10"
"177","1","TPI1","false","TPI1"
"178","1","TRBV2","false","TRBV2"
"179","1","CDK4","false","CDK4"
"180","1","ERH","false","ERH"
"181","1","BRD7","false","BRD7"
"182","1","CRMP1","false","CRMP1"
"183","1","UBR1","false","UBR1"
"184","1","GPS2","false","GPS2"
"185","1","GSTO1","false","GSTO1"
"186","1","MAD2L1BP","false","MAD2L1BP"
"187","1","PSMD11","false","PSMD11"
"188","1","SAT1","false","SAT1"
"189","1","SERPINB9","false","SERPINB9"
"190","1","SULT1E1","false","SULT1E1"
"191","1","TARDBP","false","TARDBP"
"192","1","TK1","false","TK1"
"193","1","TTR","false","TTR"
"196","1","ZNF24","false","ZNF24"
"197","1","TXNDC9","false","TXNDC9"
"198","1","ARIH2","false","ARIH2"
"199","1","BAG6","false","BAG6"
"200","1","ITGAV","false","ITGAV"
"209","1","PTPRZ1","false","PTPRZ1"
"210","1","PTN","false","PTN"
"212","1","FN1","false","FN1"
"213","1","MIA","false","MIA"
"214","1","GNG4","false","GNG4"
"215","1","NF2","false","NF2"
"216","1","SOS1","false","SOS1"
"217","1","MDK","false","MDK"
"218","1","NID2","false","NID2"
"219","1","ACTG1","false","ACTG1"
"220","1","TUBB2B","false","TUBB2B"
"221","1","LRP1","false","LRP1"
"222","1","IRS2","false","IRS2"
"223","1","MAP3K5","false","MAP3K5"
"224","1","FST","false","FST"
"226","1","HSPA1A","false","HSPA1A"
"228","1","TBL1X","false","TBL1X"
"229","1","CACYBP","false","CACYBP"
"230","1","CIZ1","false","CIZ1"
"231","1","MAPK10","false","MAPK10"
"232","1","F9","false","F9"
"235","1","PPP1R9B","false","PPP1R9B"
"236","1","TAP1","false","TAP1"
"237","1","HLA-A","false","HLA-A"
"238","1","DRD1","false","DRD1"
"239","1","CAV3","false","CAV3"
"240","1","SNX4","false","SNX4"
"241","1","CEBPB","false","CEBPB"
"244","1","KPNB1","false","KPNB1"
"245","1","PSMA3","false","PSMA3"
"246","1","TSHR","false","TSHR"
"247","1","FBLN1","false","FBLN1"
"248","1","MICAL1","false","MICAL1"
"249","1","UPP2","false","UPP2"
"250","1","NME2","false","NME2"
"253","1","SCHIP1","false","SCHIP1"
"254","1","LTK","false","LTK"
"255","1","GPR37","false","GPR37"
"256","1","HSPA8","false","HSPA8"
"257","1","SAA2","false","SAA2"
"258","1","DAXX","false","DAXX"
"259","1","CFLAR","false","CFLAR"
"260","1","DHFR","false","DHFR"
"261","1","CDK6","false","CDK6"
"262","1","FBXO7","false","FBXO7"
"263","1","AGAP2","false","AGAP2"
"264","1","CDC27","false","CDC27"
"265","1","H2AFY","false","H2AFY"
"266","1","PARP1","false","PARP1"
"267","1","FOXP3","false","FOXP3"
"268","1","PSMC3","false","PSMC3"
"269","1","KEAP1","false","KEAP1"
"270","1","BAP1","false","BAP1"
"271","1","AHCYL2","false","AHCYL2"
"272","1","ANAPC7","false","ANAPC7"
"273","1","UBE2O","false","UBE2O"
"274","1","PMS2","false","PMS2"
"275","1","SYVN1","false","SYVN1"
"276","1","ALDOA","false","ALDOA"
"277","1","UROD","false","UROD"
"278","1","UCHL1","false","UCHL1"
"279","1","CBR1","false","CBR1"
"280","1","FAH","false","FAH"
"281","1","GOT1","false","GOT1"
"282","1","RAB3A","false","RAB3A"
"283","1","CSRP1","false","CSRP1"
"284","1","PRKAR1B","false","PRKAR1B"
"285","1","ATIC","false","ATIC"
"286","1","STIP1","false","STIP1"
"287","1","MDH1","false","MDH1"
"288","1","PTGDS","false","PTGDS"
"289","1","MATR3","false","MATR3"
"290","1","OAZ1","false","OAZ1"
"291","1","PSMD4","false","PSMD4"
"293","1","CNTN2","false","CNTN2"
"294","1","FKBP4","false","FKBP4"
"295","1","AKAP12","false","AKAP12"
"296","1","PRDX1","false","PRDX1"
"297","1","AHNAK","false","AHNAK"
"298","1","GPM6B","false","GPM6B"
"299","1","DCTN2","false","DCTN2"
"300","1","COL9A3","false","COL9A3"
"301","1","DYNC1H1","false","DYNC1H1"
"302","1","FKBP8","false","FKBP8"
"303","1","PDK3","false","PDK3"
"304","1","UBE2V2","false","UBE2V2"
"305","1","ADRM1","false","ADRM1"
"306","1","RAP1GDS1","false","RAP1GDS1"
"307","1","PPP5C","false","PPP5C"
"308","1","TPM1","false","TPM1"
"309","1","TMCO3","false","TMCO3"
"310","1","CEND1","false","CEND1"
"311","1","RUSC2","false","RUSC2"
"312","1","SPARCL1","false","SPARCL1"
"313","1","MGARP","false","MGARP"
"314","1","PRCC","false","PRCC"
"315","1","NDN","false","NDN"
"316","1","OLFM1","false","OLFM1"
"317","1","DNAJC4","false","DNAJC4"
"318","1","VAPA","false","VAPA"
"319","1","PIN4","false","PIN4"
"320","1","MAST1","false","MAST1"
"321","1","MOB4","false","MOB4"
"322","1","CCDC50","false","CCDC50"
"323","1","ADH5","false","ADH5"
"324","1","AGBL2","false","AGBL2"
"325","1","ASF1A","false","ASF1A"
"326","1","NPRL3","false","NPRL3"
"327","1","TRAPPC11","false","TRAPPC11"
"328","1","DAB2IP","false","DAB2IP"
"329","1","DPH1","false","DPH1"
"330","1","AGO1","false","AGO1"
"331","1","AGO2","false","AGO2"
"332","1","GTPBP4","false","GTPBP4"
"333","1","LRPPRC","false","LRPPRC"
"334","1","MTHFSD","false","MTHFSD"
"335","1","MYL9","false","MYL9"
"336","1","PIWIL1","false","PIWIL1"
"337","1","RNF38","false","RNF38"
"339","1","TRMT11","false","TRMT11"
"340","1","TTLL5","false","TTLL5"
"341","1","TP63","false","TP63"
"342","1","TP73","false","TP73"
"343","1","CDK5","false","CDK5"
"344","1","ATG101","false","ATG101"
"345","1","ZBTB7A","false","ZBTB7A"
"346","1","GIGYF2","false","GIGYF2"
"347","1","IWS1","false","IWS1"
"348","1","SETD2","false","SETD2"
"350","1","CAMK2D","false","CAMK2D"
"351","1","APC","false","APC"
"353","1","IMMT","false","IMMT"
"354","1","BANF1","false","BANF1"
"355","1","ADD1","false","ADD1"
"356","1","HSPA2","false","HSPA2"
"357","1","NR4A2","false","NR4A2"
"358","1","LZTR1","false","LZTR1"
"359","1","TRIM29","false","TRIM29"
"360","1","ZBTB9","false","ZBTB9"
"361","1","REST","false","REST"
"363","1","SUPT16H","false","SUPT16H"
"364","1","YY1","false","YY1"
"365","1","HTT","false","HTT"
"366","1","NCAPD2","false","NCAPD2"
"367","1","UBASH3A","false","UBASH3A"
"368","1","BUB1B","false","BUB1B"
"369","1","ZNF420","false","ZNF420"
"370","1","CDX2","false","CDX2"
"371","1","KHDRBS1","false","KHDRBS1"
"372","1","SYK","false","SYK"
"373","1","ESCO2","false","ESCO2"
"374","1","MGMT","false","MGMT"
"375","1","GNB1","false","GNB1"
"376","1","EP300","false","EP300"
"378","1","MED23","false","MED23"
"379","1","MED17","false","MED17"
"380","1","THRAP3","false","THRAP3"
"381","1","TAF9","false","TAF9"
"382","1","RAN","false","RAN"
"383","1","TAF6","false","TAF6"
"384","1","HDAC6","false","HDAC6"
"385","1","MAP1S","false","MAP1S"
"386","1","RFXAP","false","RFXAP"
"387","1","RBBP5","false","RBBP5"
"388","1","RNF144B","false","RNF144B"
"389","1","PHF1","false","PHF1"
"390","1","NFKBIE","false","NFKBIE"
"391","1","PRMT1","false","PRMT1"
"392","1","HIST1H1C","false","HIST1H1C"
"393","1","CSRP3","false","CSRP3"
"394","1","TADA1","false","TADA1"
"395","1","GRIP1","false","GRIP1"
"396","1","NFATC1","false","NFATC1"
"397","1","PRAM1","false","PRAM1"
"398","1","AHRR","false","AHRR"
"399","1","CEBPD","false","CEBPD"
"400","1","SOX6","false","SOX6"
"401","1","NUP155","false","NUP155"
"402","1","NPPB","false","NPPB"
"403","1","EMD","false","EMD"
"404","1","TBL1XR1","false","TBL1XR1"
"405","1","WT1","false","WT1"
"406","1","SUZ12","false","SUZ12"
"407","1","EZH2","false","EZH2"
"408","1","DNMT1","false","DNMT1"
"409","1","DPF2","false","DPF2"
"410","1","ZMAT3","false","ZMAT3"
"411","1","THRA","false","THRA"
"412","1","THRB","false","THRB"
"413","1","CTCF","false","CTCF"
"414","1","BCL3","false","BCL3"
