"SUID","__mclCluster","name","selected","shared name"
"617093","1","VPS28","false","VPS28"
"617094","1","NARS","false","NARS"
"617095","1","RPL6","false","RPL6"
"617096","1","PAICS","false","PAICS"
"617097","1","ACACA","false","ACACA"
"617098","1","G6PD","false","G6PD"
"617099","1","NDUFA2","false","NDUFA2"
"617100","1","PRPF19","false","PRPF19"
"617101","1","NDUFV2","false","NDUFV2"
"617102","1","EIF4H","false","EIF4H"
"617103","1","TTC9C","false","TTC9C"
"617104","1","COMT","false","COMT"
"617105","3","CLIC2","false","CLIC2"
"617106","1","BAG2","false","BAG2"
"617107","1","CPNE1","false","CPNE1"
"617108","1","NUP210","false","NUP210"
"617109","1","SEPT9","false","SEPT9"
"617110","1","PFKL","false","PFKL"
"617111","1","SAR1A","false","SAR1A"
"617112","1","DDX18","false","DDX18"
"617113","1","PSMD13","false","PSMD13"
"617114","1","C1QBP","false","C1QBP"
"617115","1","RNH1","false","RNH1"
"617116","1","FDFT1","false","FDFT1"
"617117","1","MRPS34","false","MRPS34"
"617118","1","PSMC6","false","PSMC6"
"617119","1","GLUD1","false","GLUD1"
"617120","1","FLOT2","false","FLOT2"
"617121","1","PSMG2","false","PSMG2"
"617122","1","TKT","false","TKT"
"617123","1","PSMG1","false","PSMG1"
"617124","1","RPA2","false","RPA2"
"617125","1","SLC3A2","false","SLC3A2"
"617126","1","LRBA","false","LRBA"
"617127","1","POLR2C","false","POLR2C"
"617128","1","ERLIN2","false","ERLIN2"
"617129","1","PELP1","false","PELP1"
"617130","1","NHP2","false","NHP2"
"617131","1","NDUFA9","false","NDUFA9"
"617132","1","ZW10","false","ZW10"
"617133","1","RPS8","false","RPS8"
"617134","1","RPL17","false","RPL17"
"617135","1","HSPE1","false","HSPE1"
"617136","1","RPS19","false","RPS19"
"617137","1","SRM","false","SRM"
"617138","1","PDCD6","false","PDCD6"
"617139","1","PPIH","false","PPIH"
"617140","1","RPS18","false","RPS18"
"617141","1","FBL","false","FBL"
"617142","1","HIST1H4B","false","HIST1H4B"
"617143","1","HIST1H4H","false","HIST1H4H"
"617144","1","HIST1H4E","false","HIST1H4E"
"617145","1","HIST1H4D","false","HIST1H4D"
"617146","1","HIST1H4K","false","HIST1H4K"
"617147","1","HIST1H4J","false","HIST1H4J"
"617148","1","HIST1H4A","false","HIST1H4A"
"617149","1","HIST1H4I","false","HIST1H4I"
"617150","1","HIST1H4L","false","HIST1H4L"
"617151","1","HIST2H4B","false","HIST2H4B"
"617152","1","HIST1H4F","false","HIST1H4F"
"617153","1","RPL22","false","RPL22"
"617154","1","DDX39B","false","DDX39B"
"617155","1","DRG1","false","DRG1"
"617156","3","LYPLA1","false","LYPLA1"
"617157","1","UPF1","false","UPF1"
"617158","1","PPIL1","false","PPIL1"
"617159","1","STMN1","false","STMN1"
"617160","1","VDAC2","false","VDAC2"
"617161","1","HIP1R","false","HIP1R"
"617162","1","DIMT1","false","DIMT1"
"617163","1","RPL36","false","RPL36"
"617164","1","RAB5C","false","RAB5C"
"617165","1","NHP2L1","false","NHP2L1"
"617166","1","SNRNP70","false","SNRNP70"
"617167","1","NAA15","false","NAA15"
"617168","1","RAC1","false","RAC1"
"617169","1","NUP205","false","NUP205"
"617170","1","PSMA6","false","PSMA6"
"617171","1","MRPS23","false","MRPS23"
"617172","1","RPL13A","false","RPL13A"
"617173","1","RPN1","false","RPN1"
"617174","3","ITGA4","false","ITGA4"
"617175","3","VCAM1","false","VCAM1"
"617176","1","TLN1","false","TLN1"
"617177","1","GZMM","false","GZMM"
"617178","1","HSPD1","false","HSPD1"
"617179","1","SNAI1","false","SNAI1"
"617180","1","EIF3K","false","EIF3K"
"617181","1","EIF3J","false","EIF3J"
"617182","1","EIF3I","false","EIF3I"
"617183","1","EIF3H","false","EIF3H"
"617184","1","EIF3G","false","EIF3G"
"617185","1","EIF3F","false","EIF3F"
"617186","1","EIF3E","false","EIF3E"
"617187","1","EIF3D","false","EIF3D"
"617188","1","EIF3C","false","EIF3C"
"617189","1","EIF3B","false","EIF3B"
"617190","1","EIF3A","false","EIF3A"
"617191","1","HIST1H1B","false","HIST1H1B"
"617192","7","TXNDC2","false","TXNDC2"
"617193","1","PTPN5","false","PTPN5"
"617194","17","NLRP1","false","NLRP1"
"617195","7","KIAA0754","false","KIAA0754"
"617196","1","KRT1","false","KRT1"
"617197","1","KRT9","false","KRT9"
"617198","1","KRT16","false","KRT16"
"617199","7","IGKV2-40","false","IGKV2-40"
"617200","7","FAM169A","false","FAM169A"
"617201","1","SAFB2","false","SAFB2"
"617202","1","TNS3","false","TNS3"
"617203","7","ROBO3","false","ROBO3"
"617204","7","SPEF2","false","SPEF2"
"617205","7","SERTAD3","false","SERTAD3"
"617206","1","HBA1","false","HBA1"
"617207","3","FGA","false","FGA"
"617208","7","ERVK-10","false","ERVK-10"
"617209","7","DNTT","false","DNTT"
"617210","7","FAM83C","false","FAM83C"
"617211","1","QDPR","false","QDPR"
"617212","7","LECT1","false","LECT1"
"617213","7","CP","false","CP"
"617214","7","PDE4B","false","PDE4B"
"617215","1","SETX","false","SETX"
"617216","7","APOC3","false","APOC3"
"617217","7","SMPDL3A","false","SMPDL3A"
"617218","7","ABCA6","false","ABCA6"
"617219","1","BTK","false","BTK"
"617220","1","IKBKE","false","IKBKE"
"617221","1","SLC4A1","false","SLC4A1"
"617222","1","JAZF1","false","JAZF1"
"617223","1","PNKP","false","PNKP"
"617224","1","RNF115","false","RNF115"
"617225","7","VKORC1","false","VKORC1"
"617226","1","HECTD3","false","HECTD3"
"617227","1","EPAS1","false","EPAS1"
"617228","1","FMNL1","false","FMNL1"
"617229","1","RPSA","false","RPSA"
"617230","1","RPLP2","false","RPLP2"
"617231","1","LDHB","false","LDHB"
"617232","1","HSPA1B","false","HSPA1B"
"617233","1","BTF3","false","BTF3"
"617234","1","CTGF","false","CTGF"
"617235","1","HSP90AB1","false","HSP90AB1"
"617236","1","PHF20","false","PHF20"
"617237","1","TWIST1","false","TWIST1"
"617238","1","TRIM39","false","TRIM39"
"617239","1","FHIT","false","FHIT"
"617240","7","HNF1A","false","HNF1A"
"617241","1","EIF4A3","false","EIF4A3"
"617242","1","MAGOH","false","MAGOH"
"617243","4","TSGA10","false","TSGA10"
"617244","1","ECT2","false","ECT2"
"617245","1","LEO1","false","LEO1"
"617246","1","CDK14","false","CDK14"
"617247","1","MYCN","false","MYCN"
"617248","1","RING1","false","RING1"
"617249","1","MAP2K7","false","MAP2K7"
"617250","1","MAP3K7","false","MAP3K7"
"617251","1","TRPV1","false","TRPV1"
"617252","1","PGR","false","PGR"
"617253","1","HPDL","false","HPDL"
"617254","3","TFPI","false","TFPI"
"617255","1","ZNF593","false","ZNF593"
