"SUID","__mclCluster","name","selected","shared name"
"5999","5","CTNNBIP1","false","CTNNBIP1"
"6772","5","TCF7L1","false","TCF7L1"
"7288","5","SOX6","false","SOX6"
"5881","5","CTNNB1","false","CTNNB1"
"11389","5","CENPX","false","CENPX"
"7553","5","HES1","false","HES1"
"11137","5","JRK","false","JRK"
"10886","5","PARP11","false","PARP11"
"11017","5","GRIK2","false","GRIK2"
"7561","5","CALCOCO1","false","CALCOCO1"
"9354","5","PKP4","false","PKP4"
"10380","5","SLAMF7","false","SLAMF7"
"6156","5","CDH2","false","CDH2"
"6541","5","VEZT","false","VEZT"
"6542","5","MYO7A","false","MYO7A"
"11279","5","HILPDA","false","HILPDA"
"6162","5","AJAP1","false","AJAP1"
"6675","5","CDH11","false","CDH11"
"10387","5","OAF","false","OAF"
"8980","5","RNF220","false","RNF220"
"10648","5","TCF7","false","TCF7"
"6809","5","CDH10","false","CDH10"
"6810","5","CDH7","false","CDH7"
"10651","5","PLEKHA6","false","PLEKHA6"
"11164","5","ARHGEF25","false","ARHGEF25"
"7325","5","PYGO2","false","PYGO2"
"8991","5","SOX1","false","SOX1"
"11423","5","BDKRB1","false","BDKRB1"
"11039","5","CDH16","false","CDH16"
"7200","5","PROP1","false","PROP1"
"11306","5","KLHL35","false","KLHL35"
"6060","5","CTNND1","false","CTNND1"
"6061","5","JUP","false","JUP"
"9645","5","ACOX1","false","ACOX1"
"6701","5","CDH6","false","CDH6"
"6702","5","CDH18","false","CDH18"
"11312","5","CDC42EP5","false","CDC42EP5"
"6450","5","CDH8","false","CDH8"
"8379","5","SOX5","false","SOX5"
"6845","5","CTNNA3","false","CTNNA3"
"6846","5","AXIN2","false","AXIN2"
"6080","5","CTNNA1","false","CTNNA1"
"6976","5","AMER1","false","AMER1"
"9410","5","SAPCD1","false","SAPCD1"
"11075","5","FHL5","false","FHL5"
"7496","5","ANKRD35","false","ANKRD35"
"8777","5","KCTD1","false","KCTD1"
"9033","5","BCL9","false","BCL9"
"10955","5","TBX5","false","TBX5"
"11340","5","ARHGAP21","false","ARHGAP21"
"6224","5","CDON","false","CDON"
"6225","5","BOC","false","BOC"
"8402","5","APBA3","false","APBA3"
"7124","5","TCF7L2","false","TCF7L2"
"8662","5","NKD2","false","NKD2"
"6104","5","LEF1","false","LEF1"
"10970","5","SOX17","false","SOX17"
"10460","5","FANCE","false","FANCE"
"10974","5","NKD1","false","NKD1"
"6494","5","APC2","false","APC2"
"6112","5","CDH3","false","CDH3"
"10211","5","ARVCF","false","ARVCF"
"11111","5","NKIRAS1","false","NKIRAS1"
"9448","5","CTNNA2","false","CTNNA2"
"11369","5","TRIB2","false","TRIB2"
"8812","5","MLLT11","false","MLLT11"
