"SUID","__mclCluster","name","selected","shared name"
"9041","17","DNAJC28","false","DNAJC28"
"11219","17","ERVK-19","false","ERVK-19"
"9044","17","INPP4B","false","INPP4B"
"8726","17","WBP4","false","WBP4"
"9047","17","ARMC2","false","ARMC2"
"9049","17","TSHZ2","false","TSHZ2"
"6009","17","ELF3","false","ELF3"
"9051","17","FSTL5","false","FSTL5"
"9052","17","DRC7","false","DRC7"
"9054","17","TMPRSS15","false","TMPRSS15"
"10978","17","NLRC3","false","NLRC3"
"10149","17","PIGP","false","PIGP"
"7910","17","NLRP1","false","NLRP1"
"5960","17","PYCARD","false","PYCARD"
"6505","17","NLRC4","false","NLRC4"
