"SUID","__mclCluster","name","selected","shared name"
"7545","2","JARID2","false","JARID2"
"6654","2","PRKG1","false","PRKG1"
"9344","2","CCDC85C","false","CCDC85C"
"10240","2","TSPYL6","false","TSPYL6"
"5889","2","SETD2","false","SETD2"
"5896","2","TP53BP2","false","TP53BP2"
"9609","2","HMMR","false","HMMR"
"8458","2","CBX2","false","CBX2"
"10253","2","CGNL1","false","CGNL1"
"6798","2","DDX42","false","DDX42"
"5903","2","WWC1","false","WWC1"
"10644","2","KAL1","false","KAL1"
"10132","2","ZNF398","false","ZNF398"
"10135","2","RHPN1","false","RHPN1"
"9752","2","LIN7C","false","LIN7C"
"8730","2","ARHGEF10","false","ARHGEF10"
"10524","2","INADL","false","INADL"
"10145","2","ZNF669","false","ZNF669"
"10786","2","NUAK1","false","NUAK1"
"9634","2","CEP128","false","CEP128"
"9635","2","CEP135","false","CEP135"
"9637","2","NINL","false","NINL"
"9651","2","ID1","false","ID1"
"11188","2","ABRAXAS2","false","ABRAXAS2"
"6198","2","PTPN14","false","PTPN14"
"10687","2","PPP1R12B","false","PPP1R12B"
"9023","2","CIB3","false","CIB3"
"10944","2","NXF2;NXF2B","false","NXF2;NXF2B"
"7489","2","NRBP1","false","NRBP1"
"9669","2","KIAA1107","false","KIAA1107"
"6982","2","AMOT","false","AMOT"
"10056","2","NXF2","false","NXF2"
"5962","2","RIBC2","false","RIBC2"
"9034","2","BCL9L","false","BCL9L"
"10698","2","MAGOHB","false","MAGOHB"
"8395","2","FGD6","false","FGD6"
"6348","2","DIS3L2","false","DIS3L2"
"11471","2","DSTYK","false","DSTYK"
"8911","2","ARHGEF17","false","ARHGEF17"
"9428","2","WWC2","false","WWC2"
"9429","2","WWC3","false","WWC3"
"11349","2","MCF2L","false","MCF2L"
"7510","2","PRDM10","false","PRDM10"
"9687","2","C14orf169","false","C14orf169"
"5978","2","ITPR1","false","ITPR1"
"9692","2","KIF11","false","KIF11"
"10205","2","EFR3A","false","EFR3A"
"8033","2","PSMD5","false","PSMD5"
"10210","2","ZNF414","false","ZNF414"
"8035","2","SLC5A3","false","SLC5A3"
"10339","2","TMED7","false","TMED7"
"10851","2","KIAA1429","false","KIAA1429"
"7397","2","LATS1","false","LATS1"
"7781","2","TMED9","false","TMED9"
"7398","2","LATS2","false","LATS2"
"9450","2","KDM4B","false","KDM4B"
"9452","2","PSME4","false","PSME4"
"10094","2","EYA2","false","EYA2"
