"SUID","__mclCluster","name","selected","shared name"
"6001","19","CDK6","false","CDK6"
"10355","19","FAM26E","false","FAM26E"
"6004","19","CDK4","false","CDK4"
"8343","19","ZSCAN1","false","ZSCAN1"
"8376","19","MZF1","false","MZF1"
"11000","19","ZNF823","false","ZNF823"
"10201","19","MCF2L2","false","MCF2L2"
"8345","19","DEDD2","false","DEDD2"
"8380","19","SOX10","false","SOX10"
"8386","19","ISL1","false","ISL1"
"11179","19","CALHM5","false","CALHM5"
"6795","19","NR2E3","false","NR2E3"
"11373","19","Cdk inhibitor p27KIP1","false","Cdk inhibitor p27KIP1"
