"SUID","__mclCluster","name","selected","shared name"
"8175","1","LDHA","false","LDHA"
"8176","1","KRT2","false","KRT2"
"8177","1","DIAPH1","false","DIAPH1"
"8178","1","ANXA1","false","ANXA1"
"8179","1","SND1","false","SND1"
"8180","1","DDX1","false","DDX1"
"8181","1","PRDX6","false","PRDX6"
"8182","1","TOMM34","false","TOMM34"
"8183","1","RANBP1","false","RANBP1"
"8184","1","CCT4","false","CCT4"
"8185","1","SMAP2","false","SMAP2"
"8186","1","TUBB4B","false","TUBB4B"
"8187","1","TAGLN2","false","TAGLN2"
"8188","1","HNRNPA3","false","HNRNPA3"
"8189","1","CCT8","false","CCT8"
"8190","1","RPS9","false","RPS9"
"8191","1","HNRNPU","false","HNRNPU"
"8192","1","CLIC1","false","CLIC1"
"8193","1","KRT8","false","KRT8"
"8195","1","SCRIB","false","SCRIB"
"8196","1","PSMB1","false","PSMB1"
"8197","1","RPL27A","false","RPL27A"
"8198","1","PSMA5","false","PSMA5"
"8199","1","TIA1","false","TIA1"
"8200","1","ARPC3","false","ARPC3"
"8202","1","CORO1C","false","CORO1C"
"8203","1","RPS25","false","RPS25"
"8204","1","NDUFS3","false","NDUFS3"
"8205","1","RALY","false","RALY"
"8206","1","MYH10","false","MYH10"
"8207","1","RAP2B","false","RAP2B"
"8208","1","DHX15","false","DHX15"
"8209","1","PRDX3","false","PRDX3"
"8210","1","RPL35","false","RPL35"
"8212","1","KRT10","false","KRT10"
"8213","1","GMPS","false","GMPS"
"8214","1","LY6G5B","false","LY6G5B"
"8215","1","GLRX3","false","GLRX3"
"8216","1","PDCD10","false","PDCD10"
"8217","1","CAPZA1","false","CAPZA1"
"8218","1","DDX6","false","DDX6"
"8219","1","RPL21","false","RPL21"
"8220","1","MYL6","false","MYL6"
"8221","1","RPS24","false","RPS24"
"8222","1","CPSF7","false","CPSF7"
"8223","1","EEF1B2","false","EEF1B2"
"8224","1","NAPA","false","NAPA"
"8225","1","RPL10A","false","RPL10A"
"8226","1","YTHDF2","false","YTHDF2"
"8227","1","MAPRE1","false","MAPRE1"
"8228","1","RPS17","false","RPS17"
"8229","1","FSCN1","false","FSCN1"
"8230","1","MDH2","false","MDH2"
"8231","1","MCM3","false","MCM3"
"8232","1","FERMT3","false","FERMT3"
"8233","1","AP2B1","false","AP2B1"
"8234","1","CAPZB","false","CAPZB"
"8235","1","RPL18","false","RPL18"
"8236","1","RPL14","false","RPL14"
"8237","1","RPS16","false","RPS16"
"8238","1","RPL24","false","RPL24"
"8239","1","GCN1L1","false","GCN1L1"
"8240","1","PFN1","false","PFN1"
"8241","1","RPLP0","false","RPLP0"
"8242","1","TUFM","false","TUFM"
"8243","1","RPL4","false","RPL4"
"8244","1","EIF4A1","false","EIF4A1"
"8245","1","ACTN4","false","ACTN4"
"8246","1","XPO5","false","XPO5"
"8247","1","EEF1D","false","EEF1D"
"8248","1","RPL12","false","RPL12"
"8249","1","HIST1H2BK","false","HIST1H2BK"
"8250","1","AP2A1","false","AP2A1"
"8251","1","FLNC","false","FLNC"
"8252","1","FLNA","false","FLNA"
"8253","1","AKR7A2","false","AKR7A2"
"8254","1","IGF2BP2","false","IGF2BP2"
"8255","1","PCMT1","false","PCMT1"
"8256","1","IST1","false","IST1"
"8257","1","RPS21","false","RPS21"
"8258","1","EIF4G1","false","EIF4G1"
"8260","1","KHSRP","false","KHSRP"
"8261","1","VARS","false","VARS"
"8263","1","HBA2","false","HBA2"
"8264","1","EIF3L","false","EIF3L"
"8265","1","DDOST","false","DDOST"
"8266","1","RSL1D1","false","RSL1D1"
"8267","1","RBM3","false","RBM3"
"8268","1","RFC4","false","RFC4"
"8269","1","CIRBP","false","CIRBP"
"8270","1","SDHA","false","SDHA"
"8271","1","EIF4G2","false","EIF4G2"
"8272","1","DECR1","false","DECR1"
"8273","1","MBNL1","false","MBNL1"
"8274","1","DNM2","false","DNM2"
"8275","1","RPS20","false","RPS20"
"8276","1","CSE1L","false","CSE1L"
"8277","1","SNRPF","false","SNRPF"
"8278","1","SLC25A5","false","SLC25A5"
"8279","1","ESD","false","ESD"
"8280","1","KIF2C","false","KIF2C"
"8281","1","PABPC4","false","PABPC4"
"8282","1","SARNP","false","SARNP"
"8283","1","HNRNPAB","false","HNRNPAB"
"8284","1","RAVER1","false","RAVER1"
"8285","1","CLTA","false","CLTA"
"8286","1","RPS27","false","RPS27"
"8287","1","PABPC1","false","PABPC1"
"8288","1","FUBP3","false","FUBP3"
"8289","1","MCM5","false","MCM5"
"8290","1","MCM7","false","MCM7"
"8291","1","RPS15A","false","RPS15A"
"8292","1","RPL9","false","RPL9"
"8293","1","RPS4X","false","RPS4X"
"8294","1","IARS","false","IARS"
"8295","1","HIST1H1D","false","HIST1H1D"
"8296","1","TIAL1","false","TIAL1"
"8297","1","RPS12","false","RPS12"
"8298","1","HNRNPA0","false","HNRNPA0"
"8299","1","RPL10","false","RPL10"
"8300","1","NTPCR","false","NTPCR"
