"SUID","__mclCluster","name","selected","shared name"
"7282","4","PRAM1","false","PRAM1"
"7667","4","CCNB1IP1","false","CCNB1IP1"
"10484","4","ZGRF1","false","ZGRF1"
"8824","4","OXSR1","false","OXSR1"
"10361","4","CCDC107","false","CCDC107"
"11258","4","SSBP3","false","SSBP3"
"5886","4","DCN","false","DCN"
"6913","4","BNIP1","false","BNIP1"
"7042","4","RAB3A","false","RAB3A"
"7556","4","TRIM16","false","TRIM16"
"11141","4","ZNF410","false","ZNF410"
"11271","4","ERMN","false","ERMN"
"8970","4","LYZ","false","LYZ"
"10508","4","HMBOX1","false","HMBOX1"
"10255","4","EEPD1","false","EEPD1"
"9491","4","GPT2","false","GPT2"
"10260","4","ZNF684","false","ZNF684"
"11284","4","MAGEH1","false","MAGEH1"
"10901","4","ZNF365","false","ZNF365"
"9622","4","KLK7","false","KLK7"
"11416","4","ANTXR1","false","ANTXR1"
"8474","4","RABL6","false","RABL6"
"8350","4","EBF4","false","EBF4"
"11428","4","OARD1","false","OARD1"
"6696","4","CD59","false","CD59"
"9005","4","PARVG","false","PARVG"
"10670","4","CBFB","false","CBFB"
"10158","4","SPATS2","false","SPATS2"
"7089","4","ADH5","false","ADH5"
"11314","4","RPL41","false","RPL41"
"7859","4","TSGA10","false","TSGA10"
"9269","4","ARL6IP6","false","ARL6IP6"
"11447","4","NMRK2","false","NMRK2"
"7735","4","APP","false","APP"
"7352","4","KLF8","false","KLF8"
"6329","4","ASAH1","false","ASAH1"
"6463","4","CDKN2D","false","CDKN2D"
"9283","4","CLEC12A","false","CLEC12A"
"6213","4","CLEC3B","false","CLEC3B"
"6342","4","CCDC106","false","CCDC106"
"8262","4","HBZ","false","HBZ"
"11208","4","PEX2","false","PEX2"
"10316","4","CAPNS2","false","CAPNS2"
"11212","4","ALDOB","false","ALDOB"
"6222","4","PARP3","false","PARP3"
"5968","4","LACRT","false","LACRT"
"11089","4","APOBEC3G","false","APOBEC3G"
"10965","4","NCR1","false","NCR1"
"6358","4","QTRT1","false","QTRT1"
"10457","4","SPATA7","false","SPATA7"
"11357","4","PLA1A","false","PLA1A"
"9438","4","ALDH4A1","false","ALDH4A1"
"11487","4","PCOLCE","false","PCOLCE"
"7522","4","HOXB7","false","HOXB7"
"11107","4","ELN","false","ELN"
"8419","4","APBB2","false","APBB2"
"6890","4","PARP2","false","PARP2"
"9196","4","FN3KRP","false","FN3KRP"
"6126","4","TGFB2","false","TGFB2"
