"SUID","__mclCluster","name","selected","shared name"
"7600","12","ZEB2","false","ZEB2"
"8369","12","VGLL4","false","VGLL4"
"11217","12","TTC33","false","TTC33"
"9329","12","TEAD4","false","TEAD4"
"10482","12","AZIN1","false","AZIN1"
"9458","12","EIF4EBP2","false","EIF4EBP2"
"10323","12","MKX","false","MKX"
"6324","12","TOB1","false","TOB1"
"10933","12","FAM20B","false","FAM20B"
"10745","12","IRF2BPL","false","IRF2BPL"
"5949","12","APIP","false","APIP"
"7326","12","CFAP45","false","CFAP45"
"6306","12","FLYWCH1","false","FLYWCH1"
"9767","12","CBR4","false","CBR4"
"6664","12","TRIO","false","TRIO"
"10249","12","GOLPH3L","false","GOLPH3L"
"7052","12","OAZ1","false","OAZ1"
"7565","12","ELAVL1","false","ELAVL1"
