"SUID","__mclCluster","name","selected","shared name"
"9839","10","C21orf59","false","C21orf59"
"9330","10","DDX19B","false","DDX19B"
"10163","10","SERPINB7","false","SERPINB7"
"8634","10","TICAM2","false","TICAM2"
"5947","10","FTH1","false","FTH1"
"10174","10","IL1RN","false","IL1RN"
"10175","10","ACPP","false","ACPP"
"10368","10","CST4","false","CST4"
"8194","10","PI4KA","false","PI4KA"
"10243","10","TGM1","false","TGM1"
"10180","10","PLBD1","false","PLBD1"
"10184","10","FRMD1","false","FRMD1"
"10250","10","CST1","false","CST1"
"10122","10","RBP4","false","RBP4"
"10125","10","SDR16C5","false","SDR16C5"
"10258","10","ALOX12B","false","ALOX12B"
"10131","10","SEMG2","false","SEMG2"
"8723","10","MMRN1","false","MMRN1"
"7316","10","TOX4","false","TOX4"
"9685","10","PLK2","false","PLK2"
"10200","10","FCF1","false","FCF1"
"10396","10","GM2A","false","GM2A"
"10146","10","CDK15","false","CDK15"
"10153","10","TREX2","false","TREX2"
"10217","10","CPA4","false","CPA4"
"10284","10","IL37","false","IL37"
"11052","10","SLC1A6","false","SLC1A6"
"10157","10","KLK10","false","KLK10"
