"SUID","__mclCluster","name","selected","shared name"
"8946","3","TRIM68","false","TRIM68"
"6903","3","VCAN","false","VCAN"
"6905","3","FBLN2","false","FBLN2"
"6777","3","APCS","false","APCS"
"7931","3","VCAM1","false","VCAM1"
"9468","3","AKR1C2","false","AKR1C2"
"7932","3","ITGA4","false","ITGA4"
"10749","3","TIMD4","false","TIMD4"
"10109","3","MMP9","false","MMP9"
"7550","3","AGT","false","AGT"
"6658","3","C9","false","C9"
"11013","3","FBN2","false","FBN2"
"6919","3","PLG","false","PLG"
"7950","3","LYPLA1","false","LYPLA1"
"8335","3","PPIAP22","false","PPIAP22"
"11153","3","PRELP","false","PRELP"
"9618","3","MRC2","false","MRC2"
"8211","3","MYL4","false","MYL4"
"11290","3","BPTP-2","false","BPTP-2"
"10143","3","COLQ","false","COLQ"
"8479","3","IGKV3-20","false","IGKV3-20"
"8482","3","SERPINF2","false","SERPINF2"
"8483","3","SERPINA6","false","SERPINA6"
"11172","3","FSTL3","false","FSTL3"
"8484","3","CPB2","false","CPB2"
"8485","3","SERPINA7","false","SERPINA7"
"7847","3","TFPI","false","TFPI"
"8489","3","C1S","false","C1S"
"9385","3","COL8A2","false","COL8A2"
"8490","3","FGG","false","FGG"
"7467","3","COL4A5","false","COL4A5"
"6187","3","FN1","false","FN1"
"8492","3","F2","false","F2"
"8493","3","ITIH4","false","ITIH4"
"6703","3","HSPG2","false","HSPG2"
"7215","3","CDX2","false","CDX2"
"8495","3","C6","false","C6"
"8111","3","AKR1C1","false","AKR1C1"
"8623","3","LAMC3","false","LAMC3"
"8497","3","C1QB","false","C1QB"
"6706","3","C1QA","false","C1QA"
"9652","3","COL12A1","false","COL12A1"
"6072","3","SERPINB8","false","SERPINB8"
"6457","3","ITGA5","false","ITGA5"
"9274","3","CER1","false","CER1"
"6847","3","F13A1","false","F13A1"
"8001","3","CLIC2","false","CLIC2"
"6593","3","MIA","false","MIA"
"8129","3","KRT81","false","KRT81"
"9924","3","COL1A2","false","COL1A2"
"8646","3","FAM86B3P","false","FAM86B3P"
"11207","3","TIA1 protein variant","false","TIA1 protein variant"
"8651","3","HRG","false","HRG"
"11468","3","SRGN","false","SRGN"
"10957","3","CX3CL1","false","CX3CL1"
"6608","3","AMBP","false","AMBP"
"10961","3","TNFRSF11B","false","TNFRSF11B"
"8018","3","CLIC5","false","CLIC5"
"11220","3","LRG1","false","LRG1"
"10840","3","ADAM12","false","ADAM12"
"7896","3","FGA","false","FGA"
"10971","3","COL4A6","false","COL4A6"
"6621","3","NID1","false","NID1"
"6877","3","MEP1A","false","MEP1A"
"6878","3","MEP1B","false","MEP1B"
"6880","3","REG3A","false","REG3A"
"6376","3","ANXA3","false","ANXA3"
"6761","3","CRP","false","CRP"
"6634","3","FST","false","FST"
"8170","3","RPL23AP42","false","RPL23AP42"
"9966","3","P3H1","false","P3H1"
