"SUID","__mclCluster","name","selected","shared name"
"7635","16","NEFL","false","NEFL"
"9686","16","XPNPEP3","false","XPNPEP3"
"11127","16","WHRN","false","WHRN"
"5944","16","GFAP","false","GFAP"
"9688","16","SYNC","false","SYNC"
"7641","16","ARMCX2","false","ARMCX2"
"10458","16","DFNB31","false","DFNB31"
"7419","16","TBKBP1","false","TBKBP1"
"6590","16","OSBP2","false","OSBP2"
"6594","16","BFSP1","false","BFSP1"
"7778","16","URGCP","false","URGCP"
"11267","16","DEFB1","false","DEFB1"
"10212","16","RSPRY1","false","RSPRY1"
"5929","16","VIM","false","VIM"
"10124","16","INA","false","INA"
