"SUID","__mclCluster","name","selected","shared name"
"6065","13","BAK1","false","BAK1"
"6097","13","BCL2L1","false","BCL2L1"
"5971","13","BIK","false","BIK"
"5972","13","HRK","false","HRK"
"8852","13","BCL2L2","false","BCL2L2"
"7285","13","BLID","false","BLID"
"11093","13","BECN2","false","BECN2"
"5974","13","PMAIP1","false","PMAIP1"
"6071","13","BAX","false","BAX"
"5975","13","BCL2L11","false","BCL2L11"
"5977","13","BAD","false","BAD"
"7614","13","MEX3D","false","MEX3D"
"9058","13","GIMAP5","false","GIMAP5"
"11364","13","RTL10","false","RTL10"
"10756","13","RNF183","false","RNF183"
"5892","13","BNIPL","false","BNIPL"
"5893","13","BCL2","false","BCL2"
"5894","13","BNIP2","false","BNIP2"
"6536","13","BCL2L10","false","BCL2L10"
"7659","13","BFAR","false","BFAR"
"8684","13","MCL1","false","MCL1"
