"SUID","__mclCluster","name","selected","shared name"
"11440","9","HTR4","false","HTR4"
"11250","9","PPM1J","false","PPM1J"
"11443","9","HTR2B","false","HTR2B"
"6197","9","SPNS1","false","SPNS1"
"11320","9","FAM19A5","false","FAM19A5"
"11257","9","LTB4R2","false","LTB4R2"
"10171","9","FAM219A","false","FAM219A"
"10939","9","FUCA2","false","FUCA2"
"6724","9","GPR37","false","GPR37"
"9285","9","YIF1B","false","YIF1B"
"11078","9","GPR35","false","GPR35"
"11467","9","GPR17","false","GPR17"
"11278","9","FA2H","false","FA2H"
"11214","9","SLC8A2","false","SLC8A2"
"11151","9","JKAMP","false","JKAMP"
"11408","9","P4HTM","false","P4HTM"
"11088","9","SPATA2L","false","SPATA2L"
"10967","9","IFITM3","false","IFITM3"
"11415","9","ADORA2A","false","ADORA2A"
"11417","9","G6PC3","false","G6PC3"
"11036","9","ADGRB1","false","ADGRB1"
"10397","9","MBOAT7","false","MBOAT7"
"11295","9","TMEM175","false","TMEM175"
"11167","9","ADRA1A","false","ADRA1A"
"11114","9","SLC37A1","false","SLC37A1"
"10347","9","ABCB8","false","ABCB8"
"10348","9","ATE1","false","ATE1"
